 arm  n   xa     ya
  4 186  -7.037  -5.687
  4 187  -6.936  -5.876
  4 188  -6.830  -6.064
  4 189  -6.719  -6.251
  4 190  -6.603  -6.436
  4 191  -6.483  -6.618
  4 192  -6.358  -6.799
  4 193  -6.228  -6.978
  4 194  -6.093  -7.155
  4 195  -5.953  -7.329
  4 196  -5.809  -7.500
  4 197  -5.660  -7.670
  4 198  -5.507  -7.836
  4 199  -5.349  -8.000
  4 200  -5.187  -8.160
  4 201  -5.020  -8.318
  4 202  -4.848  -8.472
  4 203  -4.672  -8.623
  4 204  -4.492  -8.771
  4 205  -4.308  -8.915
  4 206  -4.119  -9.055
  4 207  -3.927  -9.192
  4 208  -3.730  -9.325
  4 209  -3.529  -9.454
  4 210  -3.325  -9.578
  4 211  -3.116  -9.699
  4 212  -2.904  -9.815
  4 213  -2.688  -9.927
  4 214  -2.469 -10.034
  4 215  -2.246 -10.137
  4 216  -2.020 -10.234
  4 217  -1.790 -10.327
  4 218  -1.557 -10.415
  4 219  -1.321 -10.499
  4 220  -1.083 -10.576
  4 221  -0.841 -10.649
  4 222  -0.596 -10.717
  4 223  -0.349 -10.779
  4 224  -0.099 -10.835
  4 225   0.153 -10.886
  4 226   0.407 -10.931
  4 227   0.664 -10.971
  4 228   0.923 -11.005
  4 229   1.184 -11.033
  4 230   1.446 -11.054
  4 231   1.710 -11.070
  4 232   1.976 -11.080
  4 233   2.243 -11.084
  4 234   2.512 -11.081
  4 235   2.782 -11.072
  4 236   3.052 -11.057
  4 237   3.324 -11.035
  4 238   3.596 -11.007
  4 239   3.869 -10.972
  4 240   4.142 -10.931
  4 241   4.415 -10.884
  4 242   4.689 -10.830
  4 243   4.962 -10.769
  4 244   5.236 -10.702
  4 245   5.509 -10.628
  4 246   5.782 -10.547
  4 247   6.054 -10.460
  4 248   6.325 -10.366
  4 249   6.595 -10.266
  4 250   6.865 -10.158
  4 251   7.132 -10.044
  4 252   7.399  -9.923
  4 253   7.663  -9.795
  4 254   7.926  -9.661
  4 255   8.187  -9.519
  4 256   8.446  -9.371
  4 257   8.702  -9.216
  4 258   8.955  -9.054
  4 259   9.206  -8.885
  5   1   3.422   7.342
  5   2   3.351   7.396
  5   3   3.279   7.449
  5   4   3.206   7.501
  5   5   3.132   7.553
  5   6   3.058   7.604
  5   7   2.983   7.655
  5   8   2.907   7.705
  5   9   2.830   7.754
  5  10   2.753   7.802
  5  11   2.675   7.850
  5  12   2.597   7.897
  5  13   2.517   7.943
  5  14   2.437   7.989
  5  15   2.357   8.033
  5  16   2.275   8.077
  5  17   2.193   8.120
  5  18   2.111   8.163
  5  19   2.027   8.204
  5  20   1.943   8.245
  5  21   1.859   8.285
  5  22   1.774   8.324
  5  23   1.688   8.363
  5  24   1.601   8.400
  5  25   1.514   8.437
  5  26   1.427   8.472
  5  27   1.339   8.507
  5  28   1.250   8.541
  5  29   1.160   8.575
  5  30   1.070   8.607
  5  31   0.980   8.638
  5  32   0.889   8.669
  5  33   0.797   8.698
  5  34   0.705   8.727
  5  35   0.613   8.755
  5  36   0.520   8.781
  5  37   0.426   8.807
  5  38   0.332   8.832
  5  39   0.237   8.856
  5  40   0.142   8.879
  5  41   0.047   8.901
  5  42  -0.049   8.922
  5  43  -0.146   8.942
  5  44  -0.243   8.961
  5  45  -0.340   8.979
  5  46  -0.438   8.996
  5  47  -0.536   9.012
  5  48  -0.635   9.027
  5  49  -0.734   9.041
  5  50  -0.833   9.054
  5  51  -0.933   9.066
  5  52  -1.033   9.076
